Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,neighborhood_district,point
3002076,0,030020760,Market St. / Mason St.,2003-01-07T00:00:00,030070255,2003-01-07T13:57:25,2003-01-07T14:01:39,2003-01-07T14:01:39,SF,94109,B03,01,,2,9,0,0,0,0,,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenderloin,POINT (-122.408953 37.783288)
3002078,0,030020780,663 Valencia St.,2003-01-07T00:00:00,030070257,2003-01-07T13:59:45,2003-01-07T14:03:00,2003-01-07T14:05:47,SF,94110,B02,07,,3,11,0,0,0,0,E07,0,0,0,0,0,0,1,"740 - Unintentional alarm, other",None,63 - Restore fire alarm system,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mission,POINT (-122.421544 37.762234)
3002081,0,030020810,80 Digby St.,2003-01-07T00:00:00,030070264,2003-01-07T14:14:39,2003-01-07T14:15:37,2003-01-07T14:15:37,SF,94131,B06,26,,1,4,0,0,0,0,,0,0,0,0,0,0,1,"900 - Special type of incident, other",None,62 - Restore fire protection system,-,-,-,888 - Fire station,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glen Park,POINT (-122.433335 37.740249)
3002085,0,030020850,Fell St. / Webster St.,2003-01-07T00:00:00,030070270,2003-01-07T14:28:36,2003-01-07T14:30:37,2003-01-07T14:50:18,SF,94115,B05,05,,1,4,1,2,0,0,E05,0,0,0,0,0,0,1,323 - Auto/Ped. Accident (Veh.),None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Hayes Valley,POINT (-122.429369 37.775111)
3002086,0,030020860,Polk St. / Post St.,2003-01-07T00:00:00,030070271,2003-01-07T14:30:26,2003-01-07T14:32:38,2003-01-07T14:37:29,SF,94109,B04,03,,1,5,0,0,0,0,T03,0,0,0,0,0,0,1,"463 - Vehicle accident, general cleanup",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Tenderloin,POINT (-122.41993 37.786826)
3002095,0,030020950,1825 Post St.,2003-01-07T00:00:00,030070282,2003-01-07T14:49:54,2003-01-07T14:52:24,2003-01-07T15:02:02,SF,94115,B04,05,,1,4,1,2,0,0,E05,0,0,0,0,0,0,1,"311 - Medical assist, assist EMS crew",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,,Japantown,POINT (-122.43229175 37.78492148)
3002558,0,030025580,9th St. / Natoma St.,2003-01-09T00:00:00,030090056,2003-01-09T06:05:59,2003-01-09T06:09:36,2003-01-09T06:19:57,SF,94103,B02,36,,1,4,0,0,0,0,E36,0,0,0,0,0,0,1,"520 - Water problem, other",None,64 - Shut down system,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,South of Market,POINT (-122.413722 37.775437)
3002560,0,030025600,1169 Market St.,2003-01-09T00:00:00,030090059,2003-01-09T06:19:04,2003-01-09T06:22:46,2003-01-09T06:22:46,SF,94104,B02,01,,3,11,0,0,0,0,,0,0,0,0,0,0,1,"740 - Unintentional alarm, other",None,86 - Investigate,-,-,-,599 - Business office,,,,,,,,,,,,,,,,,,,,,,,,,,,,South of Market,POINT (-122.41381954 37.77869199)
3002565,0,030025650,675 Larch St.,2003-01-09T00:00:00,030090071,2003-01-09T07:16:21,2003-01-09T07:18:46,2003-01-09T07:52:31,SF,94102,B02,05,,3,11,0,0,0,0,E05,0,0,0,0,0,0,1,"740 - Unintentional alarm, other",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.428491 37.781379)
3002789,0,030027890,405 Serrano Dr.,2003-01-09T00:00:00,030090390,2003-01-09T23:12:47,2003-01-09T23:17:28,2003-01-09T23:49:44,SF,94132,B08,19,,3,9,0,0,0,0,E19,0,0,0,0,0,0,1,"744 - Detector activation, no fire - accident",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakeshore,POINT (-122.481573 37.718991)
3002795,0,030027950,2695 Greenwich St.,2003-01-09T00:00:00,030090397,2003-01-09T23:46:45,2003-01-09T23:49:36,2003-01-10T00:00:12,SF,94123,B04,16,,3,11,0,0,0,0,E16,0,0,0,0,0,0,1,"220 - Rupture from air or gas, other",None,64 - Shut down system,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marina,POINT (-122.44383615 37.79775946)
3002574,0,030025740,3427 Ortega St.,2003-01-09T00:00:00,030090089,2003-01-09T08:13:56,2003-01-09T08:19:39,2003-01-09T08:23:26,SF,94122,B08,23,,1,4,0,0,0,0,E23,0,0,0,0,0,0,1,522 - Water or steam leak,None,86 - Investigate,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunset/Parkside,POINT (-122.50043259 37.75106443)
3002576,0,030025760,445 Powell St.,2003-01-09T00:00:00,030090092,2003-01-09T08:22:38,2003-01-09T08:27:13,2003-01-09T08:39:04,SF,94133,B01,01,,3,11,0,0,0,0,E01,0,0,0,0,0,0,1,"740 - Unintentional alarm, other",None,82 - Notify other agencies.,86 - Investigate,-,-,599 - Business office,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nob Hill,POINT (-122.40881688 37.78885843)
3002581,0,030025810,2650 Green St.,2003-01-09T00:00:00,030090101,2003-01-09T08:50:43,2003-01-09T08:54:03,2003-01-09T08:56:15,SF,94123,B04,16,,1,4,0,0,0,0,E16,0,0,0,0,0,0,1,"715 - Local alarm sys., Malicious False alarm",None,86 - Investigate,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marina,POINT (-122.44286341 37.79548514)
3002587,0,030025870,1215 Carolina St.,2003-01-09T00:00:00,030090110,2003-01-09T09:20:14,2003-01-09T09:25:08,2003-01-09T09:35:08,SF,94107,B10,37,,1,4,0,0,0,0,E09,0,0,0,0,0,0,1,735 - Alarm system sounded due to malfunction,None,86 - Investigate,-,-,-,"213 - Elem. school, inc. kindergarten",,,,,,,,,,,,,,,,,,,,,,,,,,,,Potrero Hill,POINT (-122.399403 37.753323)
3003336,0,030033360,9th Av. / Anza St.,2003-01-11T00:00:00,030110358,2003-01-11T21:24:29,2003-01-11T21:26:56,2003-01-11T21:50:47,SF,94121,B07,31,,1,5,0,0,0,0,E31,0,0,0,0,0,0,1,"220 - Rupture from air or gas, other",None,64 - Shut down system,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inner Richmond,POINT (-122.467355 37.778944)
